country,countyLink
england,/counties/bedfordshire/
england,/counties/berkshire/
england,/counties/bristol/
england,/counties/buckinghamshire/
england,/counties/cambridgeshire/
england,/counties/cheshire/
england,/counties/cornwall/
england,/counties/county-durham/
england,/counties/cumbria/
england,/counties/derbyshire/
england,/counties/devon/
england,/counties/dorset/
england,/counties/east-riding-of-yorkshire/
england,/counties/east-sussex/
england,/counties/essex/
england,/counties/gloucestershire/
england,/counties/hampshire/
england,/counties/herefordshire/
england,/counties/hertfordshire/
england,/counties/isle-of-wight/
england,/counties/kent/
england,/counties/lancashire/
england,/counties/leicestershire/
england,/counties/lincolnshire/
england,/counties/central-london/
england,/counties/greater-london/
england,/counties/greater-manchester/
england,/counties/merseyside/
england,/counties/norfolk/
england,/counties/north-yorkshire/
england,/counties/northamptonshire/
england,/counties/northumberland/
england,/counties/nottinghamshire/
england,/counties/oxfordshire/
england,/counties/rutland/
england,/counties/shropshire/
england,/counties/somerset/
england,/counties/south-yorkshire/
england,/counties/staffordshire/
england,/counties/suffolk/
england,/counties/surrey/
england,/counties/tyne-wear/
england,/counties/warwickshire/
england,/counties/west-midlands/
england,/counties/west-sussex/
england,/counties/west-yorkshire/
england,/counties/wiltshire/
england,/counties/worcestershire/
northern-ireland,/counties/county-antrim/
northern-ireland,/counties/county-armagh/
northern-ireland,/counties/county-down/
northern-ireland,/counties/county-fermanagh/
northern-ireland,/counties/county-londonderry/
northern-ireland,/counties/county-tyrone/
scotland,/counties/borders/
scotland,/counties/central/
scotland,/counties/dumfries-galloway/
scotland,/counties/fife/
scotland,/counties/grampian/
scotland,/counties/highland/
scotland,/counties/lothian/
scotland,/counties/orkney/
scotland,/counties/shetland/
scotland,/counties/strathclyde/
scotland,/counties/tayside/
scotland,/counties/western-isles/
wales,/counties/clwyd/
wales,/counties/dyfed/
wales,/counties/gwent/
wales,/counties/gwynedd/
wales,/counties/mid-glamorgan/
wales,/counties/powys/
wales,/counties/south-glamorgan/
wales,/counties/west-glamorgan/